Seguidor de Heinfh,Seguidores do Deus da Vingança que estão na caçada pela Seraphyne e inimigos de Raider,Raider,d6 (6=Toten),Combate,Até o Toten Morrer
Chuva extremamente forte,Aumenta em 2 dias a viagem,Todos,/,Evento,/
Estrada lamacenta ou Mar agitado,Aumenta em 1 dias a viagem,Todos,/,Evento,/
Quebra do transporte,Aumenta em 1 dias a viagem,Todos,d6,Evento,/
Helsins,Pjs interceptam algum membro dos Helsins em alguma missão,Todos,d8/Membro,Roleplay, Até Acabar
Seguidor de Reinstol,Seguidores do Deus da Forja que estão na caçada pela Seraphyne e inimigos de Raider,Raider,d6 (6=Toten),Combate,Até o Toten Morrer
Clã Fritsu,Membro do Clã Fritsu enviado para matar remanecentes de do Clã Corinthios,Dórean,d6,Combate,10x
Assassinos da família Rodrigues,Assassinos contratados pela família Rodrigues para matar o Hugo,Hugo,d8,Combate,8x
Tédio,No próximo evento o evento terá 2 reolagens,Todos,/,Evento,/
Pé torcido,Aumenta em 1 dias a viagem,Todos,/,Evento,/
Clã Tarkhan,Membro do Clã Tarkhan buscando Temujin de volta para alguma responsabilidade,Temujin,/,Roleplay,4x
Monstro do local,Busque nos livros um Monstro Forte que combine com o cenário,Todos,/,Combate,/
Seguidor de Blainengar,Seguidores do Deus do Sangue que estão na caçada pela Seraphyne e inimigos de Raider/Hugo,Raider/Hugo,d6 (6=Toten),Combate,Até o Toten Morrer
Clã Corinthios,"Membro jovem do Clã Corinthios perdido (Perseguido, Preso, Acolhido, Identidade Falsa)",Dórean,d4,Roleplay,7x
Drúidas ativistas,"Um drúida (Mar, Floresta, Campo) que está protestando por alguma fauna ou flora",Todos,Druid + d6 mobs,Roleplay,/
Viajante,Um NPC aleatório,Todos,/,Roleplay,/
Seraphyne,"Colega de Raider, verdadeira seguidora de Frivur, está sendo caçada pelos Totens",Raider,/,Roleplay,Até parar
Vento favorável ou atalho seguro,Diminui em 3 dias a viagem,Todos,/,Evento,/
Se perdeu na Jornada,Aumenta em 1 dias a viagem,Todos,/,Evento,/
Clã Nakamura,Membro do Clã Nakamura tentando matar Temujin antes seu clã o ache,Temujin,d4,Combate,14x
